trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9704455335485082}",30,0,-75.72978939879337,"{0: 23, 1: 0, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.9417645335842487}",35,0,-89.00240080372835,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.9139311852712282}",25,0,-147.92666730425987,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.8869204367171575}",25,0,-55.05873678700271,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.8607079764250578}",20,0,-70.64978467936568,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.835270211411272}",20,0,-92.04648871873614,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.8105842459701871}",30,0,-72.289399268809,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.7866278610665535}",20,2,-37.73696543480737,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.7633794943368531}",20,2,-74.151239427423,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.7408182206817179}",35,18,-107.99185622489111,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.7, 'e': 0.7189237334319262}",20,0,-100.7271884125558,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.697676326071031}",20,6,-11.267233643853487,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.6770568744981647}",25,4,-98.30970672027124,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 2}",1
14,False,"{'a': 0.7, 'e': 0.6570468198150567}",20,10,-36.547810667320555,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.6376281516217733}",25,0,-56.61106681119482,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.6187833918061408}",25,0,-23.987418875600394,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.6004955788122659}",20,0,-66.96702203607136,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
