trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.70437528508211,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.68509678019547,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.33989622047312,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.05130296873827,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.39063752137687,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,6,-153.4801866833973,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,8,-23.259332747995366,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.04152034954257,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.71811721643645,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.620440678702124,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.51057762143134,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,15,-0.1704377510673143,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.02671922624515,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.18806550820331,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.12119313286698,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.34097899013044,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.90378958511776,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.66094830655535,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.41425262737744,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,2,-139.74620958425464,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.69108431580034,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-199.01762598276932,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-92.92994184874343,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,3,-32.60155693646613,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.2918718889966,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,5,-19.558792730231588,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.37105892761102,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.72297444234806,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.60414498091843,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,2,-196.61495181081807,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 3}",1
